	label	blosum	aaindex	ensemble
0	0.0	0.029841095	0.08602965	0.057935372
1	0.0	0.11497882	0.0067516565	0.06086524
2	0.0	0.0005726218	0.0042513907	0.0024120063
3	0.0	6.234429e-05	0.0087867975	0.004424571
4	1.0	0.99900264	0.9059942	0.95249844
5	0.0	0.14736602	0.06613982	0.10675292
6	0.0	0.0020139813	0.047928423	0.024971202
7	0.0	0.11198035	0.05945611	0.08571823
8	1.0	0.9952077	0.91808474	0.9566462
9	0.0	0.0023619235	0.028859913	0.015610918
10	0.0	0.00018852949	0.00011315522	0.00015084236
11	1.0	0.9479543	0.6868458	0.81740004
12	0.0	0.08850017	0.010611266	0.04955572
13	0.0	0.018324256	0.061189532	0.039756894
14	0.0	0.012155712	0.0024073124	0.007281512
15	0.0	0.00024083257	0.010312021	0.0052764267
16	0.0	0.0057323575	0.008520663	0.00712651
17	0.0	0.00026625395	0.014847308	0.007556781
18	0.0	0.70648956	0.004361242	0.35542542
19	0.0	0.0061954856	0.0009611249	0.0035783052
20	1.0	0.99149644	0.95214945	0.971823
21	0.0	0.537052	0.0009559989	0.269004
22	0.0	0.044909626	0.019329458	0.032119542
23	1.0	0.9331393	0.9217824	0.92746085
24	0.0	0.0055199265	0.010614753	0.00806734
25	0.0	0.000577271	0.017124414	0.008850843
26	0.0	0.15238631	0.21382746	0.18310688
27	0.0	0.028973699	0.009767026	0.019370362
28	0.0	0.0001758933	0.30474633	0.15246111
29	0.0	0.4607143	0.11133361	0.28602397
30	0.0	0.45889685	0.009191424	0.23404413
31	0.0	4.8223437e-06	0.00054222345	0.0002735229
32	0.0	0.00022038817	0.0018929541	0.0010566711
33	0.0	0.8909335	0.82620895	0.85857123
34	0.0	0.0023764372	0.016599268	0.009487852
35	0.0	0.60004306	0.073363364	0.3367032
36	0.0	0.00048407912	0.009074241	0.00477916
37	1.0	0.9956415	0.7361038	0.8658726
38	0.0	0.045660645	0.0044910014	0.025075823
39	0.0	0.01845193	0.008161992	0.01330696
40	0.0	0.11598146	0.021270066	0.06862576
41	1.0	0.929717	0.8500717	0.88989437
42	1.0	0.9775293	0.89013505	0.93383217
43	0.0	0.1821211	0.30355334	0.24283722
44	0.0	0.014615774	0.016722143	0.015668958
45	0.0	0.00023171306	0.01394245	0.0070870817
46	0.0	0.43137366	0.23695984	0.33416677
47	0.0	0.4976598	0.037651658	0.26765573
48	1.0	0.9916043	0.91545904	0.9535317
49	0.0	0.00023376942	0.0047095716	0.0024716705
50	0.0	0.007379979	0.007062793	0.007221386
51	0.0	0.0006263852	0.0015415549	0.0010839701
52	0.0	0.4840233	0.26588506	0.37495416
53	0.0	0.0031901002	0.11904949	0.061119795
54	0.0	0.003199011	0.03718248	0.020190746
55	0.0	9.742759e-06	0.0010477304	0.0005287366
56	1.0	0.8044785	0.9365412	0.87050986
57	1.0	0.99732447	0.9603978	0.9788611
58	1.0	0.9947605	0.9669415	0.980851
59	1.0	0.9966959	0.9918306	0.99426323
60	0.0	0.021100491	0.0015111268	0.011305809
61	0.0	0.00023001432	0.011777788	0.0060039014
62	0.0	2.7341786e-05	0.046282202	0.023154773
63	0.0	0.001991123	0.014949411	0.008470267
64	0.0	0.0009844005	0.08546096	0.04322268
65	0.0	0.0010397136	0.054243773	0.027641743
66	1.0	0.99200606	0.9365755	0.96429074
67	0.0	7.9399715e-06	0.0009380877	0.00047301385
68	1.0	0.95283574	0.8691799	0.9110078
69	0.0	1.0029046e-05	0.0007469356	0.00037848233
70	1.0	0.9693383	0.79031837	0.87982833
71	0.0	0.023613095	0.04181072	0.03271191
72	0.0	0.0004930198	0.0054335296	0.0029632747
73	0.0	0.34651667	0.60680056	0.4766586
74	1.0	0.96956307	0.9370003	0.95328164
75	0.0	3.61888e-05	0.028727174	0.014381682
76	0.0	0.020053625	0.018665195	0.01935941
77	0.0	0.0008636117	0.03845048	0.019657046
78	0.0	0.008276731	0.14059234	0.07443453
79	0.0	0.7101025	0.05114004	0.38062125
80	0.0	0.101055026	0.032729656	0.06689234
81	0.0	0.009942293	0.097682714	0.053812504
82	0.0	0.0010102689	0.025664747	0.013337508
83	1.0	0.99978817	0.98978996	0.99478906
84	0.0	0.7580589	0.009609073	0.383834
85	0.0	0.014883369	0.00033283234	0.007608101
86	0.0	0.005569637	0.022433013	0.014001325
87	0.0	8.143268e-06	0.008245498	0.0041268207
88	0.0	0.0121279955	0.02798897	0.020058483
89	1.0	0.9445535	0.97120607	0.9578798
90	0.0	0.53175604	0.67696667	0.60436136
91	0.0	0.086306244	0.43915972	0.26273298
92	1.0	0.9644455	0.86112905	0.91278726
93	0.0	0.0011837482	0.050499886	0.025841817
94	0.0	0.94060445	0.2523995	0.59650195
95	0.0	0.89483976	0.92081213	0.90782595
96	1.0	0.9978087	0.93313193	0.9654703
97	0.0	0.0355905	0.0008134246	0.018201962
98	0.0	0.000795424	0.0016420484	0.0012187362
99	0.0	0.0115305185	0.12683141	0.069180965
100	0.0	0.50051117	0.097893715	0.29920244
101	0.0	0.00784874	0.0097050965	0.008776918
102	0.0	0.5079973	0.9183778	0.7131876
103	0.0	0.070468426	0.032696456	0.05158244
104	0.0	0.0032966435	0.011670947	0.0074837953
105	0.0	0.7615438	0.65535384	0.7084488
106	0.0	0.081033915	0.08823937	0.08463664
107	1.0	0.9786738	0.969664	0.9741689
108	0.0	0.0015533268	0.0079475045	0.0047504157
109	0.0	0.00011145702	0.0027235746	0.0014175158
110	0.0	0.002173841	0.00020349026	0.0011886656
111	0.0	0.0011537373	0.0014673173	0.0013105273
112	0.0	0.0011644363	0.0070238113	0.004094124
113	0.0	0.20425704	0.027048618	0.11565283
114	0.0	0.0027088225	0.004265189	0.0034870058
115	0.0	0.027111262	0.14495128	0.08603127
116	0.0	0.7781524	0.067141205	0.42264682
117	0.0	0.833081	0.32925186	0.58116645
118	0.0	0.015825123	0.09027457	0.053049847
119	0.0	0.103443235	0.011810631	0.057626933
120	0.0	0.010231674	0.0008789003	0.005555287
121	0.0	0.6247447	0.30162722	0.46318597
122	0.0	0.31190473	0.01667118	0.16428795
123	0.0	8.9301604e-05	0.068228215	0.03415876
124	1.0	0.9862659	0.9407412	0.96350354
125	0.0	0.013296276	0.033384293	0.023340285
126	0.0	0.012511939	0.016547352	0.014529645
127	0.0	0.00016409159	0.0027697086	0.0014669001
128	0.0	0.03822738	0.084730715	0.061479047
129	1.0	0.99730706	0.97127974	0.9842934
130	0.0	0.11959723	0.0051382184	0.062367722
131	0.0	0.16733903	0.21558163	0.19146033
132	0.0	0.9034608	0.9489612	0.926211
133	0.0	0.00019285083	0.000118402815	0.00015562683
134	0.0	0.32041532	0.20989892	0.2651571
135	0.0	0.00015637279	0.00403443	0.0020954013
136	0.0	0.85575944	0.84183013	0.8487948
137	1.0	0.99560535	0.85437405	0.9249897
138	0.0	0.8070481	0.7778898	0.7924689
139	1.0	0.99101263	0.99414206	0.9925773
140	0.0	0.028063148	0.00049355626	0.014278352
141	0.0	0.5762714	0.7762139	0.67624265
142	0.0	0.0011243224	0.09135193	0.046238124
143	0.0	0.009926021	0.0025372505	0.006231636
