blosum30	blosum60
0.9146217	0.9940858
0.93894446	0.03477788
0.0052209795	0.12395221
0.011893928	0.00038048625
0.9575423	0.9852562
0.30843434	0.00022095442
0.94199103	0.98101914
0.25668526	0.7138422
0.2195254	0.004452139
0.0010100007	0.025767207
0.9044013	0.029140234
0.31029022	0.0060815215
0.00033426285	0.17880747
0.0090256035	0.0013583899
0.0010523498	0.0001899004
0.46296984	0.13763571
0.019971669	0.009865195
0.10884449	0.5403218
0.8950248	0.07832691
0.10459423	0.39463496
0.9136735	0.966314
0.08979049	0.043298393
0.8700224	0.53591067
0.89916825	0.9784686
0.0009562373	0.00049605966
0.9841051	0.97871417
0.9072254	0.88935244
0.15006292	0.0019536614
0.7390535	0.9910661
0.98303926	0.6677532
0.44477832	0.11404264
0.9373319	0.8898081
0.05564162	0.0002529025
0.97645575	0.9881405
0.000106541345	0.006549269
0.00018012524	0.0014841259
0.9994309	0.9908775
0.020526856	0.5572909
0.0015098155	0.006679207
0.00872916	0.008181751
0.9767189	0.9940369
0.91618204	0.96374357
0.016029835	0.0004904866
0.10352677	0.69699407
0.00046914816	2.4396755e-05
0.20153701	0.933973
0.000101530786	0.002283126
0.97770023	0.9860233
0.96453965	0.9275806
0.068903744	0.15076956
0.9134517	0.93966115
0.92364466	0.9775083
0.9906756	0.59262544
0.077141285	0.005443424
0.033230513	0.004588574
0.0023017824	0.16041291
0.9944797	0.24671304
0.3427599	0.050390035
0.0027873814	0.0006496906
0.9795142	0.85423505
0.8849189	0.52073646
0.07378316	0.00720188
0.12758115	0.0021414459
0.9564507	0.04384461
0.98394585	0.9251437
2.6448128e-05	0.0010955334
0.00039371848	0.0023642778
0.030080795	0.007131636
0.063684255	0.7312499
0.9705795	0.8761995
0.5165053	0.8607589
0.005221516	0.020209491
0.08438206	0.9569328
0.9763749	0.9853576
0.16784698	0.011464924
0.9263177	0.9765661
0.9386916	0.9646486
0.9674287	0.9886403
0.99688804	0.9917475
0.0034614503	0.020859182
0.040508777	0.0002041161
0.011638194	0.80114526
0.48120368	0.9508309
0.201756	0.087010086
0.04837385	0.0003515184
0.75289005	0.8355411
0.43972042	0.31755295
0.90826285	0.92059886
0.96341777	0.65388036
0.14594173	0.06614527
0.0011821389	0.004309386
0.93015116	0.77300715
