blosum30	blosum60
0.91490585	0.9711666
0.94127566	0.8457217
0.8722142	0.9542418
0.59985423	0.56901985
0.67133456	0.72071207
0.84604657	0.7179584
0.5342073	0.9559988
0.80527127	0.5079438
0.5099813	0.75995916
0.987183	0.89953667
0.6021814	0.75919676
0.79039216	0.9148865
0.5996962	0.9303644
0.79929316	0.94375324
0.9405869	0.9495424
0.9956528	0.9459666
0.965121	0.9447732
0.95321715	0.9906584
0.9741493	0.8771905
0.84696615	0.52796084
0.012747496	0.28817955
0.9834381	0.86470973
0.307367	0.0010558069
0.95565325	0.985796
0.019659936	0.0004350245
0.58202064	0.26254863
0.41978824	0.36095083
0.4859437	0.01517275
0.00022116303	0.03787163
0.9760535	0.9965946
0.9976758	0.96933097
0.9635955	0.97435
0.16109002	0.0006299615
0.005643517	0.017627418
0.308427	0.76557004
0.07279116	0.00091823936
0.6226544	0.8868842
0.99106765	0.9424201
0.94152707	0.94746256
0.9024228	0.75136256
0.8149644	0.9003247
0.16865575	0.9695184
0.9981965	0.47653195
0.56018996	0.67908937
0.49552104	0.9267999
0.006320119	0.0002824664
0.0024452806	0.0002450943
0.61194664	0.45469373
0.9017825	0.6262359
0.0014364421	0.21388832
0.8740423	0.97360075
0.9798213	0.0044311583
0.0010899007	0.64586574
0.53484297	0.5755311
0.00040075183	0.0011495352
0.9825988	0.98119307
0.6304162	0.00034713745
0.009853452	0.014974862
0.999983	0.93783194
0.999985	0.9968512
0.896446	0.9843401
0.9889247	0.9895717
0.9632641	0.9795729
0.3798936	0.0085784495
0.002051115	0.031767875
0.06381184	0.16916418
0.13202071	0.28864843
0.7116404	0.86592263
0.0010633469	1.7945345e-05
0.8418826	0.7095615
0.9579976	0.926009
0.74899256	0.9171846
0.96735346	0.98180985
0.48770642	0.21110025
0.07116482	0.055202067
0.1014542	0.0022267401
0.30504793	2.0101015e-05
0.0023423433	0.0021508336
0.8996966	0.21157801
0.0026845038	0.0016663373
4.0077106e-05	0.00020557642
0.1301798	0.2381345
0.9365852	0.9457551
0.5624548	0.606661
0.98606217	0.99553424
7.4452364e-05	0.001430273
0.7254075	0.81439793
0.37254506	0.8962753
0.9339175	0.973447
0.98640543	0.21838501
0.721035	0.9383452
0.8730814	0.91955674
0.72275823	0.9569681
0.99204	0.25107774
0.0480223	0.70191383
0.055429757	1.671558e-05
0.0009354949	0.0186584
0.99269444	0.98233837
0.8688781	0.19083384
0.9709789	0.5379067
0.22583663	0.29323906
0.25070828	0.17164361
0.75640285	0.02121818
0.045588374	0.14947191
0.005518973	0.00081658363
0.6219927	0.00013163686
0.39152017	0.0002258718
0.00080764294	0.46979424
0.6688437	0.88203245
0.026002258	0.0012462139
0.5887164	0.8200459
0.73941976	0.9049643
0.8872734	0.9200922
0.92957056	0.9833076
0.0004543364	7.616374e-05
0.84918654	0.9612247
0.07563868	1.380523e-05
0.9733493	0.9212742
0.47397465	0.6300558
0.24043769	0.049418926
0.96748227	0.43584868
0.9595792	0.96327996
0.027462125	0.021886468
0.6898804	0.35396263
0.0058819056	0.004814565
0.26960683	0.14730757
0.93045026	0.8887707
0.96587634	0.96578467
0.0005738139	0.045533538
0.9767556	0.9521256
0.9961313	0.7069774
0.001926899	0.81233525
0.008678436	0.44882733
0.015199304	0.005405873
0.015915036	0.26264322
0.0026898682	0.0035954118
0.84171414	0.0003710389
0.00033169985	0.007497996
0.9808682	0.95304227
0.48670408	0.00043588877
0.0016305447	0.00420025
0.06091845	0.18132642
0.9755025	0.98620087
0.0006248951	0.04604435
0.6751789	0.14173439
0.98726785	0.735083
0.028912574	0.0015905797
0.99937594	0.9450343
0.6137175	0.9435774
0.015244663	0.00011676864
0.0018326044	0.0004787743
0.9421551	0.9820564
0.3333168	0.010831624
0.54173696	0.085953414
0.055521637	0.35642576
0.767192	0.9315033
0.76508653	0.15304443
0.96300554	0.94618493
0.041538924	0.6576811
0.16298941	0.7665236
0.5051888	0.7801125
0.93209094	0.94454074
0.21384987	0.44489902
0.5482399	0.87017787
0.8942071	0.94550204
0.3278193	0.7731461
0.6599136	0.93979394
0.7806504	0.78528804
0.9896828	0.9334196
0.3944022	0.95570797
0.79006886	0.959701
0.85939515	0.8708889
0.96475613	0.7544986
0.00064638257	0.0001283586
0.9350053	0.90588874
0.009370774	0.00062149763
0.06561586	0.28037843
0.34488323	0.8527136
0.78963107	0.9911784
0.9542879	0.9636637
0.99781287	0.052112162
0.9704176	0.9703635
0.997092	0.97526914
0.0049354434	0.015912026
0.9554789	0.25032073
0.02091977	0.007632941
0.98229015	0.48351595
0.9945699	0.0023072958
0.39958024	0.014967203
0.0058433115	0.11686644
0.84706986	0.019896865
0.91399926	0.14086336
0.004229009	0.00022163987
3.4853347e-05	0.038939267
0.38249642	0.7164849
0.04940176	0.0015856326
0.7950381	0.21686521
0.54609925	0.94779015
0.40819532	0.035577804
0.00245592	0.0015165806
0.0023732781	0.05467716
0.35270143	0.0023272932
0.54449546	0.94803286
0.76240325	0.96327746
0.57198083	0.024172872
0.69158477	0.75159264
0.78165853	0.9538977
0.93146336	0.0016468465
0.6434634	0.8822222
0.018152684	0.0027448237
0.9989469	0.99307245
0.22953412	0.95880216
0.23163313	0.44501847
0.68984306	0.8175682
0.6698178	0.66253483
0.71007705	0.9465067
0.67558205	0.9615922
0.32451177	0.5641969
0.99788857	0.9862526
0.9881867	0.9521145
0.7958244	0.8435688
0.073337436	0.31661478
0.13171759	0.05888647
0.37822485	0.008362532
0.7562681	0.9877696
0.9509598	0.046826363
0.24793991	0.19232684
0.009533644	0.0075457394
0.00064110756	0.009199023
0.001372695	0.0184111
0.49710962	0.049482703
0.95148456	0.86996245
0.00912708	0.2570004
0.020613104	0.5359382
0.00027409196	0.01995495
0.020774126	0.00037708879
0.011431307	0.004766792
0.91361	0.94787395
0.4567789	0.94291735
0.49696368	0.07226288
0.9771862	0.75829387
0.7462379	0.9557227
0.8719705	0.8968447
0.57235765	0.0065327883
0.96699274	0.9616797
0.51771307	0.007010877
0.7087442	0.00012916327
0.0038855374	0.69177854
0.98666847	0.8860873
0.4310703	0.10429537
0.74603117	0.90504146
0.5348995	0.0065045953
0.71922773	0.90076435
0.88182795	0.90725857
0.15600875	0.14217651
0.8369236	0.72998774
0.13472724	0.22374362
0.8858254	0.96242106
0.75010645	0.71200126
0.91366935	0.9579859
0.87174886	0.9865017
0.0032185316	0.061344445
0.0058564246	0.98526305
0.45322245	0.2645366
0.14858821	0.33894688
0.5213818	0.36411119
0.1433428	0.0050433874
0.97554684	0.7046485
0.0043102205	0.0007699132
0.845356	0.0043744445
0.020331085	0.40648365
0.91568047	0.98812544
0.6975835	0.86466575
0.8392352	0.11385995
0.91846514	0.9802916
0.1961048	0.0011809766
0.6295448	0.19072887
0.2967399	0.8796408
0.9970511	0.77815866
0.12565997	0.15109667
0.9191288	0.95475775
0.9910182	0.9879192
0.23727664	0.71566355
0.9798503	0.9593499
0.89800036	0.9714487
0.9824506	0.9504994
0.9865559	0.9001608
0.9663033	0.29323876
0.91110873	0.9887341
0.98444796	0.89474833
0.99497086	0.98646796
0.0023697913	0.5966611
0.00073361397	0.008056343
0.82547736	0.9126334
0.6808925	0.9116772
0.17869613	0.16775107
0.9006492	0.80791926
0.2772364	0.83365846
0.18819273	0.78918564
0.87909377	0.9951877
0.9968101	0.97346926
0.881194	0.9695576
0.7746036	0.09402177
0.0026979148	0.0032013953
0.22536424	0.46310276
