aaindex9	aaindex17
0.95308065	0.802187
1.7032347e-05	0.10626316
0.17960575	6.146695e-05
0.90392303	0.006453067
0.99550354	0.9966579
0.041944742	2.108508e-05
0.9985159	0.97026986
0.7923728	0.18676439
0.001488924	0.009388953
0.00093892217	0.027409345
0.14916697	0.9769044
0.017602026	0.06865713
0.12478897	0.007490903
0.016498566	0.010950416
0.002423972	0.0012255013
0.22347012	0.44270864
0.17218363	0.086502135
0.012806773	0.0034781992
0.041365474	0.15475476
0.7682525	0.3045367
0.9820867	0.96499634
0.5880296	0.359505
0.58622926	0.03010261
0.92274845	0.3485142
0.0685561	0.0018123984
0.9855497	0.9883497
0.96681166	0.7731488
0.21700388	0.013663948
0.8135996	0.21813047
0.92585564	0.76899475
0.90975106	0.40086693
0.98352176	0.7673517
7.2692064e-06	0.00058048964
0.98747766	0.96586865
0.26467407	0.0011510253
0.0061452985	0.15170035
0.9970744	0.99673736
0.43290812	0.112606734
0.0020850599	0.009441614
0.34683233	0.0060976446
0.9999925	0.9995782
0.9911804	0.9768688
0.37504557	0.059763253
0.936429	0.55082875
0.00048556924	0.038921207
0.6188074	0.42037475
0.001028657	0.008459687
0.96779305	0.9364089
0.85795283	0.7515992
0.7423988	0.5157779
0.8587258	0.5309841
0.9819064	0.9106127
0.28863218	0.88207126
0.035244137	0.0074411333
0.24439922	0.008382559
0.0066795945	0.0011622012
0.674996	0.6830627
0.16105822	0.027419716
0.010883331	0.96043575
0.955757	0.8733119
0.9750525	0.2981196
0.003979236	0.001264602
0.022154868	0.004199058
0.8158176	0.029954553
0.86459446	0.5191271
0.100711405	0.00029215217
0.07493091	0.0015641749
0.003110826	0.06812927
0.9961521	0.99564254
0.9582418	0.8146839
0.96599114	0.3683795
0.019183785	3.15072e-05
0.0036589205	0.012325197
0.9742272	0.9857683
0.009002477	0.039483488
0.9698857	0.9853101
0.9853224	0.9985051
0.99067354	0.95688796
0.9693613	0.997668
0.017404139	4.9939496e-05
0.021166682	4.9054725e-05
0.015363514	0.0061299503
0.9854074	0.9963751
0.015413761	0.5252785
0.0013004243	0.00010573623
0.97148633	0.92453593
0.9477737	0.55420184
0.9905879	0.95662665
0.8578073	0.058695167
0.82208246	0.04485041
5.3570668e-05	9.524346e-05
0.9989803	0.940374
0.9733783	0.9212322
0.009879231	0.68412244
0.9836576	0.81406283
0.034578085	2.1459831e-05
0.5565593	0.3428086
0.4794882	0.028976083
0.97130436	0.9153174
0.042357355	0.010498345
0.26221752	0.012429595
0.26868597	0.7519345
0.019613147	0.004576981
0.6192898	0.19117385
0.06343758	0.07289249
0.11912483	0.020114392
0.99516875	0.0040222406
0.009157687	0.0035159588
0.87988424	0.9766544
0.91832376	0.2565183
0.9468554	0.009265006
0.9658083	0.81957126
0.9345415	0.9673239
0.87109196	0.82023525
0.83094025	0.6980582
0.9050198	0.8931314
0.971339	0.99377316
0.60687125	0.32662326
0.7285168	0.908712
0.8336477	0.04573226
0.79370534	0.014676094
0.4470891	0.61584276
0.82191443	0.58430654
0.80424565	0.9604542
0.99287295	0.9063321
0.23047322	0.035974354
0.0034471452	0.015357047
0.33153513	0.90215963
