label	aaindex	reslike	combined
0.0	0.77981365	0.938468	0.8591408
0.0	0.016082883	0.8790072	0.44754505
0.0	6.052668e-07	0.9521096	0.4760551
0.0	0.18660513	0.119163096	0.15288411
0.0	0.88265586	0.9956926	0.93917423
0.0	0.00014659762	0.27103585	0.13559122
0.0	0.45826763	0.9985896	0.7284286
0.0	0.5304226	0.87952137	0.704972
0.0	0.00032955408	0.09377372	0.04705164
0.0	0.0016631186	0.0032259524	0.0024445355
0.0	0.023516357	0.9832729	0.5033946
0.0	0.0250521	0.8499284	0.43749022
0.0	0.99436027	0.02185309	0.5081067
0.0	2.8126726e-07	0.009904504	0.0049523925
0.0	0.0033341944	0.118953615	0.061143905
0.0	0.17918897	0.4380271	0.30860806
0.0	0.9365337	0.9775083	0.957021
0.0	0.008118719	0.98844147	0.4982801
0.0	0.00017139316	0.23785749	0.11901444
0.0	0.21245715	0.9654062	0.5889317
0.0	0.9337653	0.9966245	0.96519494
0.0	0.49246782	0.8114872	0.65197754
1.0	0.9946324	0.28903508	0.6418338
0.0	0.36551753	0.9953537	0.6804356
0.0	0.23719326	0.6326921	0.43494266
0.0	0.9779873	0.9956461	0.9868167
0.0	0.98563397	0.9682206	0.9769273
0.0	0.46369052	0.00035879016	0.23202465
0.0	0.9048445	0.99903524	0.9519399
0.0	0.9896165	0.9924079	0.9910122
0.0	0.38461956	0.97019887	0.67740923
0.0	0.075523466	0.97895306	0.52723825
0.0	0.0153615475	0.4247826	0.22007208
1.0	0.9792576	0.99704945	0.9881535
0.0	1.171833e-06	0.009511471	0.004756321
0.0	3.582278e-06	0.7453067	0.37265512
0.0	0.97030604	0.994027	0.9821665
0.0	1.2411686e-05	0.3693499	0.18468115
0.0	2.392479e-05	0.2029036	0.101463765
0.0	3.0669452e-07	0.02343458	0.011717443
0.0	0.9957414	0.99420655	0.994974
0.0	0.9514129	0.9838259	0.9676194
0.0	0.8422053	0.70393157	0.7730684
0.0	0.24334738	0.98699975	0.6151736
0.0	8.848894e-05	0.0350821	0.017585296
0.0	0.9995394	0.9914702	0.9955048
0.0	0.022343218	0.3607921	0.19156766
0.0	0.97474515	0.9977038	0.9862245
1.0	0.8749316	0.89964527	0.88728845
0.0	0.24268222	0.9996842	0.6211832
0.0	0.7205153	0.93753475	0.82902503
1.0	0.9345039	0.97016585	0.9523349
1.0	0.9494901	0.9588371	0.95416355
0.0	0.5671118	0.91556275	0.7413373
0.0	0.97488165	0.05539483	0.51513827
0.0	1.7590557e-08	0.9894625	0.49473125
0.0	0.93944854	0.93114626	0.93529737
0.0	0.0014422536	0.16436732	0.082904786
0.0	9.076181e-05	0.08057067	0.040330715
1.0	0.6509979	0.9699679	0.81048286
0.0	0.9932249	0.9404704	0.96684766
0.0	0.011813819	0.9847858	0.4982998
0.0	0.011573106	0.13467184	0.07312247
0.0	0.013908923	0.91042364	0.46216628
1.0	0.99929076	0.99949354	0.99939215
0.0	2.5970336e-05	0.12137687	0.060701422
0.0	4.3848417e-05	0.0015250742	0.0007844613
0.0	0.00011224927	0.42076674	0.21043949
0.0	0.99937534	0.51578635	0.7575809
1.0	0.9999444	0.99989665	0.9999205
0.0	0.99024844	0.99954545	0.99489695
0.0	0.051593304	0.951408	0.50150067
0.0	0.8083974	0.4258066	0.617102
0.0	0.9502158	0.9981997	0.97420776
0.0	0.055767596	0.7812647	0.41851616
0.0	0.9793055	0.98729134	0.9832984
0.0	0.96861327	0.98756623	0.97808975
0.0	0.9115536	0.98812526	0.9498395
1.0	0.98058206	0.99755216	0.9890671
0.0	7.732166e-06	0.18989378	0.09495076
0.0	3.547646e-05	0.0007394552	0.00038746584
0.0	0.02011469	0.114076614	0.06709565
0.0	0.62290126	0.9800304	0.80146587
0.0	0.00060647726	0.0011644363	0.0008854568
0.0	0.0609456	0.9707854	0.5158655
0.0	0.78073704	0.9990779	0.8899075
0.0	0.45677465	0.12470907	0.29074186
1.0	0.99635994	0.99695253	0.99665624
0.0	0.61330307	0.94917035	0.7812367
0.0	0.016179979	0.94568014	0.48093006
0.0	3.8389866e-05	0.00050637126	0.00027238057
1.0	0.9870164	0.96209663	0.9745565
0.0	0.1455259	0.5692277	0.3573768
0.0	0.73648536	0.11207181	0.4242786
0.0	0.9999997	0.9988131	0.9994064
0.0	0.14789978	0.79300106	0.4704504
0.0	0.9591147	0.9917211	0.97541785
0.0	0.7598978	0.23288831	0.49639308
1.0	0.9996232	0.99837357	0.9989984
0.0	0.20305166	0.26308817	0.23306991
