label	aaindex	blosum	ensemble
0.0	0.7668216	0.938468	0.8526448
0.0	0.17917997	0.8790072	0.5290936
0.0	0.008844465	0.9521096	0.48047704
0.0	0.62808174	0.119163096	0.37362242
0.0	0.98090386	0.9956926	0.98829824
0.0	0.08704749	0.27103585	0.17904167
0.0	0.87729007	0.9985896	0.9379398
0.0	0.19486308	0.87952137	0.5371922
0.0	0.15020642	0.09377372	0.12199007
0.0	0.02349335	0.0032259524	0.013359651
0.0	0.024816126	0.9832729	0.50404453
0.0	0.17317691	0.8499284	0.51155263
0.0	0.16727337	0.02185309	0.09456323
0.0	0.0019156933	0.009904504	0.0059100986
0.0	0.032371372	0.118953615	0.07566249
0.0	0.58842623	0.4380271	0.5132267
0.0	0.31577724	0.9775083	0.6466428
0.0	0.77638286	0.98844147	0.8824122
0.0	0.22435516	0.23785749	0.23110633
0.0	0.75598526	0.9654062	0.8606957
0.0	0.9916538	0.9966245	0.9941392
0.0	0.34201115	0.8114872	0.5767492
1.0	0.35249424	0.28903508	0.32076466
0.0	0.917307	0.9953537	0.95633036
0.0	0.034430772	0.6326921	0.33356142
0.0	0.9807154	0.9956461	0.98818076
0.0	0.8829889	0.9682206	0.92560476
0.0	0.05467248	0.00035879016	0.027515635
0.0	0.8185439	0.99903524	0.9087896
0.0	0.90681314	0.9924079	0.94961053
0.0	0.9716937	0.97019887	0.9709463
0.0	0.77533704	0.97895306	0.87714505
0.0	0.005759001	0.4247826	0.2152708
1.0	0.9948413	0.99704945	0.99594533
0.0	0.008568823	0.009511471	0.009040147
0.0	0.029551476	0.7453067	0.38742906
0.0	0.9820522	0.994027	0.9880396
0.0	0.22026223	0.3693499	0.29480606
0.0	0.010275692	0.2029036	0.106589645
0.0	0.6931486	0.02343458	0.3582916
0.0	0.7971045	0.99420655	0.8956555
0.0	0.94604206	0.9838259	0.964934
0.0	0.006652683	0.70393157	0.35529214
0.0	0.40096626	0.98699975	0.693983
0.0	0.10923782	0.0350821	0.07215996
0.0	0.93344903	0.9914702	0.9624596
0.0	0.031164736	0.3607921	0.19597842
0.0	0.9287023	0.9977038	0.9632031
1.0	0.8580994	0.89964527	0.87887233
0.0	0.09653163	0.9996842	0.5481079
0.0	0.9027416	0.93753475	0.9201382
1.0	0.79530066	0.97016585	0.8827332
1.0	0.62440026	0.9588371	0.7916187
0.0	0.23830822	0.91556275	0.57693547
0.0	0.09107292	0.05539483	0.07323387
0.0	0.07314268	0.9894625	0.5313026
0.0	0.8251648	0.93114626	0.8781555
0.0	0.027929246	0.16436732	0.09614828
0.0	0.09786382	0.08057067	0.089217246
1.0	0.69417405	0.9699679	0.83207095
0.0	0.9227345	0.9404704	0.9316025
0.0	0.85919356	0.9847858	0.9219897
0.0	0.012874782	0.13467184	0.07377331
0.0	0.17376289	0.91042364	0.5420933
1.0	0.9794194	0.99949354	0.9894565
0.0	0.00596267	0.12137687	0.06366977
0.0	0.1550389	0.0015250742	0.078281984
0.0	0.006321728	0.42076674	0.21354423
0.0	0.83897626	0.51578635	0.6773813
1.0	0.9891448	0.99989665	0.9945207
0.0	0.97753525	0.99954545	0.98854035
0.0	0.12426147	0.951408	0.53783476
0.0	0.5424251	0.4258066	0.48411584
